Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
Duplex,1.57,2019,8,20,8/23/19,893.0,2.0
Duplex,0.57,2019,8,20,8/16/19,2538.0,2.0
Duplex,0.9,2019,8,20,8/30/19,1720.0,2.0
Duplex,1.72,2019,8,20,8/16/19,900.0,2.0
Condominium,1.37,2019,8,20,8/26/19,1162.0,2.0
Single Family Resi,1.43,2019,8,20,8/29/19,1154.0,3.0
Duplex,0.58,2019,8,20,8/19/19,2869.0,2.0
Duplex,0.93,2019,8,20,8/7/19,1831.0,2.0
Duplex,0.88,2019,8,20,8/23/19,1991.0,2.0
Single Family Resi,1.71,2019,8,20,8/1/19,1051.0,3.0
Single Family Resi,1.99,2019,8,20,8/8/19,906.0,3.0
Duplex,0.72,2019,8,20,8/6/19,2574.0,3.0
Single Family Resi,1.73,2019,8,20,8/23/19,1098.0,3.0
Duplex,0.76,2019,8,20,8/1/19,2502.0,3.0
Single Family Resi,1.93,2019,8,20,8/19/19,1012.0,3.0
Single Family Resi,1.57,2019,8,20,8/18/19,1254.0,3.0
Condominium,1.79,2019,8,20,8/18/19,1200.0,2.0
Single Family Resi,1.58,2019,8,20,8/30/19,1385.0,3.0
Single Family Resi,2.07,2019,8,20,8/2/19,1060.0,3.0
Single Family Resi,1.38,2019,8,20,8/10/19,1627.0,4.0
Single Family Resi,1.92,2019,8,20,8/5/19,1198.0,3.0
Single Family Resi,1.82,2019,8,20,8/16/19,1266.0,3.0
Townhouse,1.7,2019,8,20,8/18/19,1368.0,3.0
See Remarks,2.07,2019,8,20,8/1/19,1150.0,3.0
Single Family Resi,2.0,2019,8,20,8/7/19,1250.0,3.0
Duplex,1.56,2019,8,20,8/23/19,1600.0,2.0
Single Family Resi,1.55,2019,8,20,8/9/19,1616.0,3.0
Single Family Resi,2.15,2019,8,20,8/1/19,1211.0,3.0
Single Family Resi,1.43,2019,8,20,8/8/19,1885.0,3.0
Single Family Resi,1.9,2019,8,20,8/21/19,1448.0,3.0
Single Family Resi,1.45,2019,8,20,8/9/19,1900.0,3.0
Single Family Resi,1.52,2019,8,20,8/22/19,1840.0,4.0
Single Family Resi,1.6,2019,8,20,8/7/19,1745.0,3.0
Duplex,1.62,2019,8,20,8/21/19,1847.0,3.0
Single Family Resi,3.1,2019,8,20,8/10/19,1000.0,2.0
Single Family Resi,1.92,2019,8,20,8/8/19,1663.0,3.0
Single Family Resi,1.72,2019,8,20,8/5/19,1922.0,5.0
Single Family Resi,1.62,2019,8,20,8/8/19,2155.0,4.0
