,BLACK,HHSEX,METRO,HHGRAD,HHMAR,HHCITSHP,HHAGE,NUMPEOPLE,HINCP,DIVISION,OWNER
336,0.0,2,1.0,39,6,1,41,4,5.093421685162235,2,1.0
338,0.0,1,1.0,39,3,2,73,1,4.568201724066995,2,1.0
339,1.0,2,1.0,45,1,1,71,2,4.812913356642856,2,1.0
340,0.0,1,1.0,44,6,1,70,1,4.2552725051033065,5,1.0
341,0.0,2,1.0,40,3,1,71,1,4.079181246047625,7,0.0
342,0.0,1,1.0,40,3,1,73,1,4.578639209968072,2,0.0
343,0.0,1,1.0,39,1,1,74,3,4.526339277389844,8,0.0
344,1.0,1,0.0,39,1,2,57,4,4.695481676490197,5,0.0
345,0.0,2,0.0,40,6,1,21,2,4.079181246047625,7,0.0
346,0.0,2,1.0,43,4,1,43,4,4.568201724066995,5,0.0
347,0.0,2,1.0,36,1,1,80,2,4.707570176097937,5,1.0
350,0.0,1,0.0,39,6,1,33,1,4.724275869600789,1,0.0
351,0.0,1,0.0,39,1,1,70,2,5.1272992150577075,1,0.0
354,0.0,1,0.0,37,6,1,30,1,4.447158031342219,1,0.0
355,0.0,2,1.0,39,4,1,67,4,4.6414741105041,1,0.0
356,0.0,2,1.0,41,4,1,77,1,4.096910013008056,9,0.0
357,0.0,1,0.0,47,2,5,31,1,4.447158031342219,1,0.0
360,0.0,2,1.0,39,5,1,34,3,4.401400540781544,9,0.0
361,0.0,2,1.0,40,1,1,44,6,5.176091259055681,9,0.0
362,0.0,2,0.0,44,6,1,35,2,5.0,1,0.0
363,0.0,2,1.0,44,6,1,24,1,4.47567118832443,9,0.0
364,0.0,1,1.0,41,6,1,25,2,5.008600171761918,1,0.0
365,0.0,2,1.0,44,1,1,58,2,4.928907690243952,9,0.0
366,0.0,1,1.0,40,1,3,51,4,5.060697840353612,5,1.0
367,0.0,2,1.0,40,4,1,63,1,4.049218022670182,9,0.0
368,0.0,1,1.0,39,1,5,39,2,4.690196080028514,1,1.0
369,0.0,1,0.0,37,4,4,60,2,4.8228216453031045,1,0.0
370,1.0,2,1.0,32,4,4,43,4,4.380211241711606,1,1.0
371,0.0,2,1.0,39,3,1,75,1,4.086359830674748,9,0.0
372,0.0,2,1.0,45,6,1,26,2,5.346352974450639,1,0.0
373,0.0,2,1.0,37,1,1,29,2,4.662757831681574,9,0.0
374,0.0,2,1.0,41,3,1,80,3,4.702430536445525,1,1.0
375,1.0,1,1.0,45,4,1,65,1,4.620136054973758,2,1.0
376,0.0,1,1.0,40,1,1,62,2,5.143014800254095,1,1.0
377,0.0,2,1.0,34,1,5,32,4,4.113943352306837,1,0.0
378,0.0,1,1.0,39,6,1,39,1,4.278753600952829,2,0.0
379,0.0,1,1.0,45,3,1,76,1,5.037426497940624,5,1.0
380,0.0,1,1.0,44,1,4,56,4,5.187520720836463,2,1.0
381,0.0,2,1.0,45,1,1,42,2,5.017033339298781,2,1.0
382,0.0,2,1.0,38,3,1,69,5,4.852479993636856,2,1.0
384,0.0,2,1.0,39,4,1,85,1,4.431363764158987,5,0.0
386,0.0,1,1.0,45,6,5,26,2,5.204119982655925,2,0.0
387,1.0,1,1.0,47,4,4,46,6,5.113943352306837,5,1.0
388,0.0,2,1.0,45,1,5,39,4,5.491361693834273,2,1.0
389,1.0,1,1.0,40,5,1,52,1,4.724275869600789,2,0.0
390,0.0,2,1.0,43,4,1,57,3,5.019531684531255,2,1.0
391,0.0,1,1.0,42,1,1,53,4,5.095866453478543,2,1.0
392,0.0,1,1.0,47,1,1,72,2,4.342422680822207,1,1.0
393,0.0,2,1.0,47,4,1,57,1,4.3979400086720375,1,0.0
395,0.0,1,1.0,42,1,1,33,3,4.653212513775344,1,1.0
396,0.0,2,1.0,44,3,4,61,2,4.947433721887051,2,1.0
397,1.0,2,1.0,42,4,1,67,2,4.954242509439325,2,1.0
399,0.0,1,1.0,45,1,1,31,2,4.832508912706237,2,0.0
400,0.0,1,1.0,44,6,1,30,2,5.535294120042771,1,1.0
401,0.0,2,1.0,39,3,1,80,1,4.518513939877887,1,1.0
402,1.0,1,1.0,39,3,1,80,2,4.707570176097937,5,0.0
403,0.0,2,1.0,39,6,1,65,1,4.204119982655925,1,0.0
405,0.0,2,1.0,44,4,3,50,2,4.45484486000851,5,1.0
406,0.0,1,1.0,44,1,5,66,2,4.811575005870593,2,1.0
407,0.0,1,1.0,44,1,5,33,4,4.903089986991944,2,0.0
408,0.0,2,1.0,44,4,1,52,2,4.991226075692495,2,0.0
409,0.0,1,1.0,40,6,1,35,3,4.7923916894982534,2,1.0
410,0.0,2,1.0,44,1,1,62,2,5.278753600952829,1,1.0
411,1.0,2,1.0,39,6,1,54,4,5.171726453653231,5,0.0
412,0.0,1,1.0,39,1,1,27,4,4.307496037913213,5,0.0
415,0.0,2,1.0,39,3,4,85,1,4.14921911265538,1,0.0
416,0.0,2,1.0,40,6,1,39,1,4.778151250383644,5,1.0
417,0.0,1,1.0,39,1,1,27,3,4.973127853599698,2,0.0
418,0.0,1,1.0,40,1,1,32,2,4.982180745596403,2,1.0
419,1.0,2,1.0,36,4,1,68,1,4.190331698170292,2,0.0
420,0.0,1,1.0,44,3,1,80,3,5.367355921026019,2,1.0
421,0.0,2,1.0,44,1,1,36,4,5.311753861055754,2,1.0
426,0.0,1,1.0,39,6,1,43,2,4.625312450961674,5,1.0
429,0.0,1,1.0,44,1,4,32,3,4.857332496431268,2,0.0
430,0.0,1,1.0,44,1,1,50,5,5.256236533205923,5,1.0
431,0.0,1,1.0,44,4,5,45,1,4.919078092376074,5,0.0
434,0.0,1,1.0,41,4,1,39,1,4.778151250383644,2,0.0
435,0.0,1,1.0,46,1,1,59,3,5.396373727536506,5,1.0
437,0.0,1,1.0,40,3,1,71,1,4.544068044350276,1,1.0
438,1.0,1,1.0,44,2,1,52,1,5.107209969647869,5,1.0
439,0.0,1,1.0,45,1,1,60,4,5.259091928632214,2,1.0
440,0.0,1,1.0,40,6,1,40,5,5.5003737143533735,5,1.0
441,0.0,2,1.0,44,1,4,41,2,5.519827993775719,5,1.0
443,0.0,1,1.0,45,1,1,37,4,5.464638559095033,5,1.0
444,1.0,1,1.0,39,3,1,73,1,4.6414741105041,2,1.0
445,0.0,2,1.0,44,1,1,42,3,5.050766311233042,2,1.0
446,0.0,2,1.0,44,1,1,31,3,4.778151250383644,2,1.0
447,1.0,2,1.0,40,6,2,36,7,4.3404441148401185,2,0.0
448,0.0,2,1.0,39,4,1,48,3,4.6020599913279625,1,0.0
449,0.0,1,1.0,39,6,1,36,2,4.594392550375427,5,0.0
450,0.0,2,1.0,39,3,1,77,1,4.371067862271737,5,1.0
451,0.0,1,1.0,40,1,3,65,3,5.173186268412274,2,1.0
452,0.0,1,1.0,45,1,1,27,2,5.1303337684950066,2,1.0
453,0.0,1,1.0,43,4,1,52,1,4.7558748556724915,1,1.0
457,1.0,2,1.0,39,6,1,50,2,4.586587304671755,2,0.0
458,0.0,2,1.0,39,4,1,85,1,4.283301228703549,1,0.0
460,0.0,2,1.0,43,6,1,23,3,5.012415374762433,1,0.0
461,0.0,2,1.0,44,1,1,35,2,5.155336037465061,2,1.0
462,0.0,1,1.0,46,1,1,56,4,5.532754378992498,5,1.0
464,0.0,1,1.0,43,6,1,70,2,4.5843312243675305,1,0.0
465,0.0,1,0.0,44,1,1,39,4,4.989449817666692,9,0.0
467,0.0,1,1.0,44,1,1,40,5,5.024936968037443,5,1.0
468,0.0,1,1.0,44,1,1,63,2,4.879669205632053,3,1.0
469,0.0,2,1.0,32,1,5,28,5,5.004321373782642,1,0.0
472,1.0,2,0.0,39,6,1,32,4,4.146128035678238,5,0.0
473,0.0,2,1.0,40,6,1,35,5,4.342422680822207,3,0.0
475,0.0,1,1.0,45,1,1,76,3,4.676693609624866,1,1.0
476,0.0,1,1.0,44,1,1,59,4,5.477121254719663,1,1.0
478,0.0,2,0.0,37,6,1,56,2,4.305351369446623,8,0.0
479,0.0,1,1.0,34,6,1,42,1,4.017033339298781,3,0.0
480,0.0,1,1.0,39,6,1,45,1,4.623456048069934,1,1.0
481,1.0,1,1.0,45,1,5,42,3,4.749736315569061,1,0.0
482,0.0,2,1.0,44,1,1,52,3,5.163161374977018,1,1.0
483,0.0,2,1.0,33,1,1,63,2,4.903089986991944,1,1.0
484,0.0,2,1.0,46,6,1,61,1,4.623042434246382,1,1.0
485,0.0,2,0.0,38,6,1,51,3,4.301029995663981,9,0.0
486,0.0,2,1.0,35,6,1,34,4,4.079181246047625,1,0.0
487,1.0,1,0.0,44,1,1,60,2,4.985875357308394,5,1.0
488,0.0,2,1.0,41,3,1,78,5,4.979548374704095,1,1.0
490,0.0,2,1.0,35,3,1,79,1,4.075546961392531,5,1.0
492,0.0,1,1.0,43,6,1,27,1,4.748188027006201,3,0.0
493,0.0,2,1.0,39,1,5,45,4,4.973127853599698,1,1.0
494,0.0,1,1.0,44,1,5,47,4,4.794488046659169,1,1.0
495,0.0,1,1.0,40,4,1,72,3,5.103803720955957,1,1.0
496,0.0,1,0.0,44,1,1,68,2,4.944482672150168,9,1.0
498,0.0,1,1.0,40,1,1,28,2,4.973127853599698,9,1.0
500,0.0,1,1.0,44,4,1,43,1,4.954242509439325,3,1.0
503,0.0,2,1.0,43,1,1,67,2,4.876391061819188,1,1.0
504,0.0,1,1.0,44,6,1,60,1,4.056904851336473,8,0.0
505,0.0,1,1.0,39,1,1,62,3,4.9084850188786495,9,1.0
507,1.0,1,1.0,35,6,1,73,1,4.021189299069938,5,0.0
508,1.0,1,1.0,39,6,1,18,2,4.3979400086720375,3,0.0
509,0.0,2,1.0,39,1,1,69,2,5.02938377768521,1,1.0
510,0.0,1,0.0,43,1,1,80,2,4.939119717648487,9,1.0
511,0.0,2,1.0,45,5,1,55,2,5.107209969647869,1,0.0
512,0.0,1,1.0,39,1,1,62,7,5.296248242948933,9,1.0
513,0.0,2,1.0,34,6,5,31,4,4.127104798364807,9,0.0
514,0.0,1,1.0,44,1,1,80,2,4.450249108319361,1,1.0
516,0.0,1,1.0,40,1,1,76,2,4.654176541877961,5,1.0
517,0.0,1,1.0,39,6,5,28,1,4.903089986991944,1,0.0
518,0.0,2,1.0,37,6,1,34,3,4.505149978319906,3,0.0
520,0.0,1,0.0,42,6,1,27,1,4.57978359661681,9,0.0
522,1.0,1,0.0,39,1,1,50,2,4.6020599913279625,5,1.0
523,0.0,2,1.0,40,6,1,30,5,4.4996870826184034,3,0.0
524,0.0,1,1.0,34,4,5,42,4,4.942008053022313,1,1.0
525,0.0,1,1.0,39,1,1,64,2,5.182699903336043,1,1.0
526,0.0,2,1.0,45,4,1,66,1,4.845098040014257,1,0.0
527,0.0,1,1.0,47,1,1,72,2,5.350248018334163,1,1.0
528,0.0,2,0.0,39,3,1,80,1,4.354108439147401,9,0.0
531,0.0,1,1.0,38,1,1,65,4,4.854913022307856,9,1.0
532,1.0,2,0.0,37,3,1,79,3,4.550228353055094,5,0.0
534,0.0,1,0.0,37,6,1,60,1,4.158362492095249,8,0.0
