Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date
Duplex,0.57,2019,8,20,8/22/19
Condominium,1.05,2019,8,20,8/8/19
Condominium,1.33,2019,8,20,8/10/19
Quadruplex,1.05,2019,8,20,8/31/19
Duplex,0.58,2019,8,20,8/1/19
Quadruplex,1.07,2019,8,20,8/9/19
Quadruplex,0.25,2019,8,20,8/1/19
Condominium,1.25,2019,8,20,8/19/19
Duplex,1.27,2019,8,20,8/1/19
Duplex,1.33,2019,8,20,8/1/19
Duplex,1.12,2019,8,20,8/15/19
Condominium,1.28,2019,8,20,8/11/19
Duplex,1.39,2019,8,20,8/1/19
Duplex,1.4,2019,8,20,8/9/19
Duplex,0.7,2019,8,20,8/19/19
Duplex,0.63,2019,8,20,8/10/19
Duplex,0.59,2019,8,20,8/11/19
Condominium,1.29,2019,8,20,8/9/19
Duplex,0.63,2019,8,20,8/9/19
Duplex,0.7,2019,8,20,8/24/19
Duplex,0.7,2019,8,20,8/9/19
Duplex,0.78,2019,8,20,8/5/19
Duplex,0.66,2019,8,20,8/15/19
Duplex,1.15,2019,8,20,8/16/19
Duplex,1.46,2019,8,20,8/9/19
Duplex,1.48,2019,8,20,8/15/19
Duplex,0.68,2019,8,20,8/1/19
Duplex,1.46,2019,8,20,8/10/19
Duplex,1.46,2019,8,20,8/2/19
Duplex,1.4,2019,8,20,8/5/19
Condominium,1.4,2019,8,20,8/1/19
Duplex,0.74,2019,8,20,8/1/19
Condominium,1.34,2019,8,20,8/1/19
Condominium,1.26,2019,8,20,8/24/19
Condominium,1.39,2019,8,20,8/15/19
Duplex,0.65,2019,8,20,8/14/19
Townhouse,1.21,2019,8,20,8/29/19
Single Family Resi,1.27,2019,8,20,8/31/19
Duplex,1.08,2019,8,20,8/10/19
Single Family Resi,1.41,2019,8,20,8/31/19
Single Family Resi,1.18,2019,8,20,8/2/19
Single Family Resi,1.49,2019,8,20,8/2/19
Single Family Resi,1.23,2019,8,20,8/1/19
Single Family Resi,0.93,2019,8,20,8/21/19
Single Family Resi,1.13,2019,8,20,8/22/19
Single Family Resi,1.22,2019,8,20,8/19/19
Single Family Resi,1.03,2019,8,20,8/20/19
Single Family Resi,1.32,2019,8,20,8/8/19
Single Family Resi,1.3,2019,8,20,8/15/19
Single Family Resi,1.8,2019,8,20,8/15/19
Single Family Resi,1.1,2019,8,20,8/24/19
Single Family Resi,1.37,2019,8,20,8/18/19
Single Family Resi,1.27,2019,8,20,8/6/19
Single Family Resi,1.23,2019,8,20,8/21/19
Single Family Resi,0.66,2019,8,20,8/22/19
Single Family Resi,1.24,2019,8,20,8/21/19
Single Family Resi,1.01,2019,8,20,8/1/19
Single Family Resi,1.34,2019,8,20,8/10/19
Condominium,1.7,2019,8,20,8/4/19
See Remarks,1.14,2019,8,20,8/15/19
Duplex,0.69,2019,8,20,8/1/19
Duplex,1.65,2019,8,20,8/29/19
Quadruplex,1.5,2019,8,20,8/23/19
